DATAFLOW,FREQ,CLASSE_ETA,IMPORTO,ITTER107,SESSO,TIPO_DATO,TIPO_PENSIONE,TIME_PERIOD,OBS_VALUE
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD42,9,P_RSNU,WAR,01/01/2012,3297
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,CIVDIS,01/01/2012,7078
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,CIVDIS,01/01/2012,30888
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC2,9,P_RSNU,SURV,01/01/2012,10089
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC42,9,P_RSNU,ALL,01/01/2012,161515
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG16,9,P_RSNU,CIVDAC,01/01/2012,1449
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF51,9,P_RSNU,CIVDIS,01/01/2012,18915
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD2,9,P_RSNU,COMP,01/01/2012,7608
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,OLSEN1,01/01/2012,49779
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE21,9,P_RSNU,WAR,01/01/2012,5701
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,CIVDAC,01/01/2012,5200
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,CIVDAC,01/01/2012,902
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,ACCALL,01/01/2012,4274
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG16,9,P_RSNU,CIVDIS,01/01/2012,8866
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE45,9,P_RSNU,ALL,01/01/2012,127426
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF65,9,P_RSNU,CIVWAC,01/01/2012,7549
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE34,9,P_RSNU,WAR,01/01/2012,1344
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,NOCONT,01/01/2012,2428
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG16,9,P_RSNU,CIVWAC,01/01/2012,2137
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC42,9,P_RSNU,CIVDAC,01/01/2012,2777
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG16,9,P_RSNU,ACCALL,01/01/2012,5280
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,CIVWAC,01/01/2012,1028
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC42,9,P_RSNU,ACCALL,01/01/2012,14283
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,CIVWAC,01/01/2012,7826
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,NOCONT,01/01/2012,1399
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE21,9,P_RSNU,SURV,01/01/2012,54022
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,OLSEN1,01/01/2012,31030
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC41,9,P_RSNU,TOTDIS,01/01/2012,27523
